Date, Open, High, Low, Close
04/09/21,33526.19,33810.87,33526.19,33800.6
04/08/21,33469.89,33506.8,33342.64,33503.57
04/07/21,33444.98,33521.76,33347.96,33446.26
04/06/21,33500.02,33544.79,33380.43,33430.24
04/05/21,33222.38,33617.95,33222.38,33527.19
04/01/21,33054.58,33167.17,32985.35,33153.21
03/31/21,33116.04,33173.77,32980.57,32981.55
03/30/21,33127.88,33170.93,32988.92,33066.96
03/29/21,33087.55,33259,32905.13,33171.37
03/26/21,32681.07,33098.83,32681.07,33072.88
03/25/21,32346.81,32672.69,32071.41,32619.48
03/24/21,32470.88,32787.99,32418.15,32420.06
03/23/21,32691.5,32753.77,32356.28,32423.15
03/22/21,32601.82,32810.35,32512.53,32731.2
03/19/21,32858.36,32858.36,32505.07,32627.97
03/18/21,32928.16,33227.78,32831.25,32862.3
03/17/21,32825.52,33047.58,32782.18,33015.37
03/16/21,32966.75,32966.75,32778.23,32825.95
03/15/21,32798.84,32973.4,32629.75,32953.46
03/12/21,32462.4,32793.32,32462.4,32778.64
03/11/21,32354.5,32661.59,32345.7,32485.59
03/10/21,31906.96,32389.5,31906.96,32297.02
03/09/21,31892.35,32150.32,31822.64,31832.74
03/08/21,31512.15,32148.04,31512.15,31802.44
03/05/21,31029.18,31580.33,30766.81,31496.3
03/04/21,31289.01,31461.97,30547.53,30924.14
03/03/21,31352.96,31563.31,31260.14,31270.09
03/02/21,31535.37,31623.27,31377.16,31391.52
03/01/21,31065.9,31668.34,31065.9,31535.51
02/26/21,31401.29,31450.89,30911.37,30932.37
02/25/21,31955.94,31984.77,31293.32,31402.01
02/24/21,31499.75,32009.64,31421.29,31961.86
02/23/21,31501.89,31653.38,31158.76,31537.35
02/22/21,31381.12,31653.48,31286.57,31521.69
02/19/21,31504.13,31647.53,31469.34,31494.32
02/18/21,31558.6,31558.6,31285.32,31493.34
02/17/21,31485.61,31643.7,31338.76,31613.02
02/16/21,31472.08,31608.63,31443.48,31522.75
02/12/21,31420.8,31475.31,31347.8,31458.4
02/11/21,31466.49,31543.82,31244.36,31430.7
02/10/21,31428.02,31511.44,31221.32,31437.8
02/09/21,31359.88,31439.47,31245.86,31375.83
02/08/21,31191.2,31386.1,31191.2,31385.76
02/05/21,31093.81,31252.18,31083.22,31148.24
02/04/21,30737.78,31065.96,30737.78,31055.86
02/03/21,30689.65,30793.41,30521.31,30723.6
02/02/21,30276.88,30840.54,30276.88,30687.48
02/01/21,30054.73,30335.91,30014.97,30211.91
01/29/21,30553.91,30553.91,29856.3,29982.62
01/28/21,30377.19,30951.41,30377.19,30603.36
01/27/21,30893.78,30893.78,30206.91,30303.17
01/26/21,30968.55,31121.42,30921.71,30937.04
01/25/21,30989.85,30989.85,30564.06,30960
01/22/21,31141.56,31141.56,30908.47,30996.98
01/21/21,31198.01,31272.22,31120.92,31176.01
01/20/21,31017.54,31235.98,30997.79,31188.38
01/19/21,30887.42,31086.62,30865.03,30930.52
01/15/21,30926.77,30941.98,30612.67,30814.26
01/14/21,31085.67,31223.78,30982.24,30991.52
01/13/21,31084.88,31153.37,30992.05,31060.47
01/12/21,31015.01,31114.56,30888.76,31068.69
01/11/21,31015.37,31096.98,30832.06,31008.69
01/08/21,31069.58,31140.67,30793.27,31097.97
01/07/21,30901.18,31193.4,30897.86,31041.13
01/06/21,30362.78,31022.65,30313.07,30829.4
01/05/21,30204.25,30504.89,30141.78,30391.6
01/04/21,30627.47,30674.28,29881.82,30223.89
12/31/20,30417.64,30637.47,30344.5,30606.48
12/30/20,30415.09,30525.35,30393.04,30409.56
12/29/20,30492.07,30588.79,30274.24,30335.67
12/28/20,30283.23,30525.56,30283.23,30403.97
12/24/20,30155.92,30209.67,30099.3,30199.87
12/23/20,30046.73,30292.53,30046.73,30129.83
12/22/20,30200.2,30200.2,29992.89,30015.51
12/21/20,30159,30304.14,29755.53,30216.45
12/18/20,30314.26,30343.59,30029.44,30179.05
12/17/20,30216,30323.78,30216,30303.37
12/16/20,30191.38,30236.03,30080.11,30154.54
12/15/20,29919.09,30243.26,29894.95,30199.31
12/14/20,30123.91,30325.79,29849.15,29861.55
12/11/20,29988.21,30071.13,29820.84,30046.37
12/10/20,30032.55,30063.87,29876.82,29999.26
12/09/20,30229.81,30319.7,29951.85,30068.81
12/08/20,29997.95,30246.22,29972.07,30173.88
12/07/20,30233.03,30233.03,29967.22,30069.79
12/04/20,29989.56,30218.26,29989.56,30218.26
12/03/20,29920.83,30110.88,29877.27,29969.52
12/02/20,29695.09,29902.51,29599.29,29883.79
12/01/20,29797.5,30083.31,29797.5,29823.92
11/30/20,29854.51,29854.51,29463.64,29638.64
11/27/20,29911.33,30015.13,29819.98,29910.37
11/25/20,30058.87,30058.87,29806.25,29872.47
11/24/20,29746.11,30116.51,29746.11,30046.24
11/23/20,29332.82,29667.75,29332.82,29591.27
11/20/20,29437.57,29469.89,29231.2,29263.48
11/19/20,29370.92,29524.9,29228.38,29483.23
11/18/20,29875.4,29930.85,29432.84,29438.42
11/17/20,29800.15,29872.42,29520.29,29783.35
11/16/20,29672.36,29964.29,29672.36,29950.44
11/13/20,29203.9,29559.25,29203.9,29479.81
