Date,Nasdaq,SSE,LSE,Nikkei225,Dow Jones,Nifty50
2010-03-18 00:00:00,-0.667857025,0.037588685,-0.101293553,0.538160282,-0.334093347,0.233673081
2010-03-19 00:00:00,0.666834587,-0.972743902,-0.418835355,-0.419155069,0.394744207,-1.066159856
2010-03-22 00:00:00,0.617458972,1.072763086,-0.201429491,-0.005932082,-0.319276791,0.295780122
2010-03-23 00:00:00,-0.649519345,1.750558702,0.303022202,0.239820513,-0.862264004,0.576175295
2010-03-24 00:00:00,-0.14277657,-0.022530682,-0.200979338,0.040640465,0.521128143,-0.008004602
2010-03-25 00:00:00,-0.174916969,0.060749023,-0.358528232,1.190263285,0.030043939,0.319605586
2010-03-26 00:00:00,0.230804608,-0.53002267,-0.509216685,-0.129482962,-0.005808958,0.304142336
2010-03-29 00:00:00,0.126162684,0.97536888,-0.599294154,0.746402927,-0.329627216,-0.771667544
2010-03-30 00:00:00,-0.526680813,0.211332372,-0.856019945,-0.109949436,-0.026499389,-0.310839883
2010-03-31 00:00:00,0.066108133,-0.040219773,1.855810179,1.062761462,0.50466761,0.692401518
2010-04-01 00:00:00,0.878910206,-0.314406995,0.07663562,0.232917949,-0.556101409,1.385234577
2010-04-06 00:00:00,-0.287288986,0.64717262,-0.479632799,0.013443822,0.10483824,0.078755139
2010-04-07 00:00:00,0.09986992,-0.450088556,0.71215237,-0.897667997,0.680468979,-1.25118657
2010-04-08 00:00:00,0.511002309,0.792073174,0.260026381,0.19541076,-0.185271184,0.98515732
2010-04-09 00:00:00,0.034765896,0.065994635,0.529472502,0.275745329,-0.55049023,-0.45535843
2010-04-12 00:00:00,0.183545385,-0.088583216,-0.068549817,-0.675138275,-7.77654E-05,-0.366070885
2010-04-13 00:00:00,1.290765655,-0.87607951,0.441734241,0.249252479,-0.041892296,-0.918601979
2010-04-14 00:00:00,0.271307225,-0.022530682,0.032632197,0.428284102,-0.848721916,-0.008004602
2010-04-15 00:00:00,-1.183976865,-3.317901326,-0.868499086,-1.20709189,-0.109737019,-0.269159689
2010-04-16 00:00:00,-0.13452897,-0.078528082,-0.471678052,-1.368273953,1.095911827,-1.088723111
2010-04-19 00:00:00,0.605277331,1.485568396,-0.200199287,-0.117161487,-0.573235753,0.415096826
2010-04-20 00:00:00,0.048573949,-0.889556939,-0.937588706,1.348266428,-0.141099858,0.195786438
2010-04-21 00:00:00,0.397105713,-0.465224265,-0.625084805,-1.021869747,0.007232031,0.373837452
2010-04-22 00:00:00,0.277772919,-0.419446211,-0.299500783,-0.303917912,-0.005642385,0.564037996
2010-04-23 00:00:00,-0.330258521,-1.556445824,-0.235426014,1.821937878,-0.53601595,0.256745637
2010-04-26 00:00:00,-1.692543171,-0.261161668,-1.297534404,0.27198023,0.067929381,-0.321197194
2010-04-27 00:00:00,-0.08719576,-0.87936833,-1.172090943,-1.966314941,1.762664243,-1.634175721
2010-04-28 00:00:00,1.336287906,0.001906147,0.775471867,0.915453691,-0.393807372,0.645924358
2010-04-29 00:00:00,-1.676903163,-0.972599697,-0.796204789,-0.005932082,-1.014781745,0.361869468
2010-04-30 00:00:00,1.244576201,0.576560225,-1.353213959,-2.469223873,1.349741723,-1.024247147
2010-05-04 00:00:00,-0.825578611,-1.419778215,-0.733873167,-0.005932082,1.862359663,-0.498294095
2010-05-05 00:00:00,-2.719666416,0.253240946,-0.951658026,-0.005932082,0.56903594,-0.684410358
2010-05-06 00:00:00,-1.90666397,-1.435816175,-1.112810248,-2.344319957,2.858399538,-1.358730006
2010-05-07 00:00:00,4.386819875,0.188879187,2.44351998,1.236436661,1.270346359,3.5353847
2010-05-10 00:00:00,-0.073465807,1.721942062,-0.894689784,-0.921537748,-3.948345798,-1.07643808
2010-05-11 00:00:00,1.767450156,-0.450578179,0.649014945,-0.186710038,0.39193823,0.308418772
2010-05-12 00:00:00,-1.103852983,-3.490225042,0.453025803,1.71809295,-1.298709941,0.339950159
2010-05-13 00:00:00,-1.65044287,1.089329755,-1.477107382,-1.181981499,1.022214704,-1.547537405
2010-05-14 00:00:00,0.169918705,-0.266973117,1.103562949,-1.677636461,1.426307877,-0.680160116
2010-05-17 00:00:00,-1.338018173,-0.972981973,2.015374872,-0.006892684,0.023689153,0.04372477
2010-05-18 00:00:00,-0.75442063,0.8415074,-1.293935787,-0.478130584,1.053255276,-2.594840208
2010-05-19 00:00:00,-3.195865968,3.056070691,-0.352248528,-1.217664591,0.656083313,0.473882899
2010-05-20 00:00:00,0.891431026,-1.438109589,-0.587794279,-1.882054563,3.194601224,-0.383326114
2010-05-21 00:00:00,-0.659490109,0.037567432,-0.21074903,-0.266216868,-1.157737658,0.173218444
2010-05-24 00:00:00,-0.193377779,0.9009311,-2.127596045,-2.318214574,1.195847608,-2.497375322
2010-05-25 00:00:00,-0.648946703,-0.062813049,0.798146339,0.46752728,0.28593326,2.250692377
2010-05-26 00:00:00,3.32104561,-1.773565081,2.023827335,0.928122866,0.706762435,1.664625506
2010-05-27 00:00:00,-0.825840926,-0.750554726,0.025180488,0.968734247,-2.834664291,1.176079608
2010-05-28 00:00:00,-1.31327844,0.03889627,-0.390839748,-0.013650557,1.150957485,0.299347483
2010-06-01 00:00:00,2.284009991,-0.029300781,-0.248540685,-0.908448601,1.079379574,0.903120944
2010-06-02 00:00:00,0.736773214,-1.258764525,0.284803836,2.616545282,-2.199024825,1.730158825
2010-06-03 00:00:00,-2.864151091,0.01174132,-1.451721057,-0.161325142,0.021206729,0.396365968
2010-06-04 00:00:00,-1.692157943,2.389912244,-0.804194515,-2.873023067,2.818653617,-1.827124338
2010-06-07 00:00:00,-0.222788053,-0.680453994,-1.035170927,0.081784087,1.124730149,-0.922623929
2010-06-08 00:00:00,-0.536186068,0.172335506,-0.481852959,-0.847309054,-1.17066613,0.178131944
2010-06-09 00:00:00,2.406795645,-0.382151013,0.464224403,0.819441992,0.453859194,1.481509018
2010-06-10 00:00:00,0.879018314,-0.899960435,1.689571957,1.320552029,-2.737217567,0.706044711
2010-06-11 00:00:00,-0.082587861,-1.394762961,0.985857178,1.399738397,-0.290035921,1.444960347
2010-06-14 00:00:00,2.394116423,2.505855187,0.616319871,0.004208439,0.259044572,0.381737338
2010-06-15 00:00:00,-0.09416243,0.018076647,-0.095935121,1.411335771,-2.040792235,0.126128899
2010-06-16 00:00:00,-0.051382475,-0.60978561,-0.135063358,-0.575132247,0.031581379,0.696674714
2010-06-17 00:00:00,-4.10057E-05,-0.153585774,-0.460859558,-0.093572789,-0.152592573,-0.291032807
2010-06-18 00:00:00,-0.818347476,-0.47341067,0.953639533,1.93024328,-0.076026633,1.644570423
2010-06-21 00:00:00,-1.048222418,-0.58026196,-0.622066483,-0.985631776,0.148318656,-0.704233893
2010-06-22 00:00:00,-0.370970303,-2.989556239,-1.906083769,-1.462212676,1.353744284,0.043370383
2010-06-23 00:00:00,-1.385546455,-0.937734381,-0.911033129,-0.022912347,0.028998465,-0.119397475
2010-06-24 00:00:00,0.134720625,-0.825615817,0.080959893,-1.499799419,1.343670944,-0.955536395
2010-06-25 00:00:00,-0.201473202,0.251464028,-0.135063358,-0.403905498,0.157490106,1.130209853
2010-06-28 00:00:00,-3.012857402,-0.659619583,-1.974212877,-1.022295558,0.123367743,-1.376253747
2010-06-29 00:00:00,-1.065750711,1.594498643,-0.85485819,-1.530570097,2.393439533,0.976924421
2010-06-30 00:00:00,-0.402458722,0.335565482,-1.517903971,-1.582504278,0.960276577,-1.114976516
2010-07-01 00:00:00,-0.46842643,-0.249840356,0.523986626,0.043766475,0.467273045,-0.328004644
2010-07-02 00:00:00,-0.012273429,1.948689105,-0.349849852,0.485049467,0.511479425,-0.095922349
2010-07-05 00:00:00,0.003592276,0.60182426,3.087088862,0.552694646,0.01767397,0.919401942
2010-07-06 00:00:00,2.749717503,-1.247629763,-0.219598731,-0.539104101,-0.497638206,-0.900412905
2010-07-07 00:00:00,0.537551345,0.620144653,1.082755705,2.20859696,-2.798859361,0.968462842
2010-07-08 00:00:00,0.741169248,-1.415918789,0.945588536,0.352092687,-1.116470383,0.954293393
2010-07-09 00:00:00,-0.023158641,-0.059405194,-0.333759259,-0.3589442,-0.490124772,0.476471043
2010-07-12 00:00:00,1.668667547,1.764787259,0.822345455,-0.148023763,-0.096202152,0.239220731
2010-07-13 00:00:00,0.198975472,1.804856736,2.139815089,2.162398129,-1.353582541,-0.324486386
2010-07-14 00:00:00,-0.12409375,0.153041536,-0.432247753,-0.909871398,0.040469943,-0.203053046
2010-07-15 00:00:00,-2.483196983,0.829556316,-0.094883192,-2.177329238,0.141504009,0.194520164
2010-07-16 00:00:00,0.663454094,0.244694641,0.724544222,-1.099979684,2.290552911,-0.203729049
2010-07-19 00:00:00,0.862682514,0.471496375,-0.665065872,-0.005932082,-0.467878514,-0.392532639
2010-07-20 00:00:00,-1.346869926,-0.452330319,-0.703657505,-0.005932082,-0.650761586,0.489525834
2010-07-21 00:00:00,2.316236766,1.906369786,0.834697242,-0.538540021,1.043213483,0.692681515
2010-07-22 00:00:00,0.814604653,0.38852169,-0.287743026,1.801370166,-1.931025473,0.050277556
2010-07-23 00:00:00,0.938428093,-0.367119482,0.114837184,0.554221546,-0.89949829,-0.590139655
2010-07-26 00:00:00,-0.388394388,1.059322481,3.091167076,-0.115222479,-0.875029175,0.136528843
2010-07-27 00:00:00,-0.926604812,-1.30277884,-0.019439821,2.157952488,-0.036418257,-0.634224172
2010-07-28 00:00:00,-0.558853242,0.296737078,-0.349727937,-0.510118187,0.42470086,0.125792115
2010-07-29 00:00:00,0.01619035,-0.570142786,-0.860278183,-1.291315829,0.346697736,-0.77318561
2010-07-30 00:00:00,1.499301914,1.155494406,1.385690579,0.213307992,0.085253991,1.099779248
2010-08-02 00:00:00,-0.516886832,0.374411939,0.667304302,0.980142938,-1.928868471,0.063695984
2010-08-03 00:00:00,0.661534892,-2.102254905,-0.60461787,-1.637080529,0.404785615,0.426838005
2010-08-04 00:00:00,-0.469090536,0.323691546,-0.097519761,1.345882354,-0.324538343,-0.426364484
2010-08-05 00:00:00,-0.261361208,-0.970605477,-0.822292985,-0.154437213,0.122313753,-0.209316096
2010-08-06 00:00:00,0.550570406,0.957958994,0.584578362,-0.61220103,0.261848774,0.765855015
2010-08-09 00:00:00,-1.082762637,1.765106853,-0.578603603,-0.233008356,-0.334365457,-0.503296333
2010-08-10 00:00:00,-2.407670751,0.25057736,-0.097069611,-2.063955702,0.544314436,-0.747081271
2010-08-11 00:00:00,-0.767078651,-0.221311206,-0.708066056,-0.718542878,2.265349134,-0.146259505
2010-08-12 00:00:00,-0.716128048,0.612005364,-0.057468678,0.29103611,0.596601908,0.562755659
2010-08-13 00:00:00,0.231362839,-1.300070981,-0.0575795,-0.530352763,0.226722249,-0.644450198
2010-08-16 00:00:00,1.006620501,-0.145519,0.730020278,-0.353037847,0.084696602,-0.146289931
2010-08-17 00:00:00,0.143292459,0.276883109,-0.450396333,0.627099599,-0.91639596,1.107191442
2010-08-18 00:00:00,-1.405025401,-1.524924566,-0.739701058,1.004215577,-0.014120372,1.019578084
2010-08-19 00:00:00,-0.064918109,0.154828919,-0.135063358,-1.525564813,1.318979213,-0.235592579
2010-08-20 00:00:00,-0.839397579,0.165525554,0.547192681,-0.582645462,0.590638057,0.146993103
2010-08-23 00:00:00,-1.406775408,1.307043167,-0.678549834,-1.067879349,0.430280472,-0.709800509
2010-08-24 00:00:00,0.625365052,-0.458565339,-0.621028369,-1.311706548,1.258977829,-0.784788804
2010-08-25 00:00:00,-0.951254859,-0.518345297,-0.248022761,0.489391407,-0.112025951,0.197426836
2010-08-26 00:00:00,1.357500842,0.994611045,1.50976033,0.699371528,0.749730498,-1.213844008
2010-08-27 00:00:00,-1.332370607,-0.069665441,0.102157023,1.366830459,-1.574632193,0.043996264
2010-08-31 00:00:00,2.595507249,0.003816803,1.974647826,0.876856203,0.027048229,1.193764439
2010-09-01 00:00:00,0.827541903,-0.147499595,1.344773514,1.169115778,-2.508203497,0.174908888
2010-09-02 00:00:00,1.251825737,-1.123174526,-0.135063358,0.388994507,-0.401973927,-0.189681535
2010-09-03 00:00:00,-0.986902787,0.148614799,-0.496494939,1.612769967,-1.150915877,1.703610703
2010-09-06 00:00:00,0.003592276,0.723473624,-0.938142269,-0.678113691,0.01767397,0.392291662
2010-09-07 00:00:00,0.685051488,-0.052404063,0.297400692,-1.689009093,1.005173319,-0.00935976
2010-09-08 00:00:00,0.182256476,-1.049482766,0.681904019,0.592122641,-0.357667346,0.479845089
2010-09-09 00:00:00,0.141160784,-1.428875312,0.847186591,1.190533706,-0.185870956,2.065946249
2010-09-10 00:00:00,1.614263502,-0.022530682,-0.699336594,0.654562144,-0.365925017,-0.008004602
2010-09-13 00:00:00,0.053357376,-0.171757032,-0.820726421,-0.246481937,-0.684561279,0.522235949
2010-09-14 00:00:00,0.333691013,-0.354372575,0.051914849,1.786190443,0.230908087,1.033996114
2010-09-15 00:00:00,-0.025767304,0.028752968,-0.500663763,-0.005932082,-0.3491642,-0.581578438
2010-09-16 00:00:00,0.361675506,1.128126771,-0.775442341,0.92546273,-0.125237952,0.868995195
2010-09-17 00:00:00,1.438112302,-0.539805538,1.361978067,-0.252347102,-0.042546063,1.540256681
2010-09-20 00:00:00,-0.322521573,-0.078722703,-0.025155391,-0.005932082,-1.289635163,0.385624507
2010-09-21 00:00:00,-0.607947958,1.412446639,-0.65110375,-0.347126034,0.008939727,-0.353839572
2010-09-22 00:00:00,-0.359032661,2.719234961,0.052625072,-0.812584406,0.262944611,-0.558694584
2010-09-23 00:00:00,1.985809973,2.116742477,0.998163601,-0.005932082,0.729997442,0.889887587
2010-09-24 00:00:00,-0.488844539,0.971531139,0.164013738,1.058831693,-1.787055361,0.200919816
2010-09-27 00:00:00,0.255804078,0.51775308,-0.613583689,-0.908489833,0.485015594,-0.169949897
2010-09-28 00:00:00,-0.201516555,0.464020386,-0.496980492,0.472720058,-0.336520358,-0.656692134
2010-09-29 00:00:00,-0.370485231,2.766661718,-0.911288902,-1.547472664,0.270992415,0.549826643
2010-09-30 00:00:00,-0.020674051,-0.468651383,0.133566211,0.234135656,0.477640874,1.808950931
2010-10-01 00:00:00,-0.981839034,1.281939292,-0.74738486,-0.250254101,-0.296900334,0.174838294
2010-10-04 00:00:00,2.016390964,-0.002940211,0.09576292,1.124765482,0.737198082,-0.281217588
2010-10-05 00:00:00,-0.741536931,-0.574889188,-0.022667512,1.4122228,-1.728671709,0.56597745
2010-10-06 00:00:00,0.010079488,-0.278945534,0.215610818,-0.112617724,-0.125699646,-1.044024611
2010-10-07 00:00:00,0.561794254,2.188732333,-0.472781955,-0.813408575,0.237016577,-0.330770264
2010-10-08 00:00:00,-0.081373961,-0.308710791,0.054777394,-1.620362779,-0.437277483,0.437221436
2010-10-11 00:00:00,0.459667662,-1.135908668,-0.171127,-0.005932082,0.0410706,-0.745510061
2010-10-12 00:00:00,0.737975245,-0.17486732,1.954132336,0.064723531,-0.012449959,2.299137275
2010-10-13 00:00:00,-0.293636079,-0.411114994,-0.401107576,1.495859695,-0.593815276,-0.900899552
2010-10-14 00:00:00,1.103870969,2.148371123,-0.792336639,-0.722371918,0.087095819,-1.725318916
2010-10-15 00:00:00,0.313915661,-0.276380365,0.590354967,-0.073883396,0.341095795,0.134531446
2010-10-18 00:00:00,-1.483265594,-0.422415605,-0.934004619,0.281127732,-0.638335272,-0.806324027
2010-10-19 00:00:00,0.626741119,1.523787583,-0.098606404,-1.304326932,1.4017512,-0.761005476
2010-10-20 00:00:00,-0.018267459,1.104567301,0.773291395,-0.101937022,-1.089255387,1.928666005
2010-10-21 00:00:00,0.594017977,0.737458623,0.49593416,0.364725763,-0.25943718,-0.609354743
2010-10-22 00:00:00,0.297124058,-0.645343134,3.115496171,-0.269200627,0.192185207,0.559894009
2010-10-25 00:00:00,0.122136291,-0.535697232,-0.418835355,-0.255300777,-0.196611161,-0.435776028
2010-10-26 00:00:00,0.105532659,0.80716718,-0.763374593,0.021103173,0.028370033,-1.106329555
2010-10-27 00:00:00,0.041978964,-3.544176127,-0.544019073,-0.232802969,0.43273587,-0.458742925
2010-10-28 00:00:00,-0.094648951,0.747434145,1.126080547,-1.371514997,0.17830951,0.407965405
2010-10-29 00:00:00,-0.181018749,-2.804382459,0.502036783,-0.45831391,0.035590548,1.578006487
2010-11-01 00:00:00,0.899802502,-1.454336628,-0.067268049,-0.014528328,0.022032344,-0.051965876
2010-11-02 00:00:00,0.128861121,0.71824145,-0.135063358,1.710516559,-0.484080105,0.582595869
2010-11-03 00:00:00,1.184063259,0.606546086,0.335903292,-0.005932082,-0.151299268,1.900441824
2010-11-04 00:00:00,-0.042756891,-0.171852913,-0.101761031,2.289788249,-1.894911783,-0.2025964
2010-11-05 00:00:00,-0.061306286,-0.022530682,-0.263376564,0.831003741,-0.002385164,-0.008004602
2010-11-08 00:00:00,-0.633090669,-1.468629894,0.001328002,-0.364019136,0.376782891,0.359902918
2010-11-09 00:00:00,0.431263594,0.876415342,-0.909871655,1.071318262,0.560032807,-0.454416748
2010-11-10 00:00:00,-0.822549373,1.070414552,-0.265663173,0.188377646,-0.011799906,-1.2439975
2010-11-11 00:00:00,-1.253891458,-0.747607993,-0.135063358,-1.106578385,0.671888635,-1.829517249
2010-11-12 00:00:00,-0.240166838,-0.203391469,0.264020082,0.786198912,0.806917716,0.726298493
2010-11-15 00:00:00,-1.473822231,-1.23901543,-0.564719282,-0.298673005,-0.005327574,-1.991836765
